Date;Value;Return;DividendYield;TotalReturn;ReturnRange
1904-01-01;6.68;-0.21040189125295516;0.0533;-0.15710189125295515;< -15%
1905-01-01;8.43;0.2619760479041917;0.037599999999999995;0.2995760479041917;15% to 30%
1906-01-01;9.87;0.17081850533807819;0.0346;0.20541850533807818;15% to 30%
1907-01-01;9.56;-0.03140830800405259;0.0407;0.009291691995947413;0% to 15%
1908-01-01;6.85;-0.2834728033472804;0.067;-0.21647280334728042;< -15%
1909-01-01;9.06;0.3226277372262776;0.0443;0.3669277372262776;> 30%
1910-01-01;10.08;0.11258278145695355;0.042699999999999995;0.15528278145695354;15% to 30%
1911-01-01;9.27;-0.0803571428571429;0.0519;-0.028457142857142903;-15% to 0%
1912-01-01;9.12;-0.016181229773462813;0.0516;0.03541877022653719;0% to 15%
1913-01-01;9.3;0.019736842105263275;0.0512;0.07093684210526327;0% to 15%
1914-01-01;8.37;-0.1000000000000002;0.059699999999999996;-0.040300000000000204;-15% to 0%
1915-01-01;7.48;-0.10633213859020296;0.0571;-0.049232138590202965;-15% to 0%
1916-01-01;9.33;0.24732620320855614;0.0454;0.29272620320855613;15% to 30%
1917-01-01;9.57;0.025723472668810254;0.0571;0.08282347266881025;0% to 15%
1918-01-01;7.21;-0.24660397074190177;0.1015;-0.14510397074190176;-15% to 0%
1919-01-01;7.85;0.08876560332871009;0.0722;0.16096560332871007;15% to 30%
1920-01-01;8.83;0.12484076433121016;0.0594;0.18424076433121017;15% to 30%
1921-01-01;7.11;-0.19479048697621737;0.07490000000000001;-0.11989048697621736;-15% to 0%
1922-01-01;7.3;0.026722925457102642;0.0629;0.08962292545710264;0% to 15%
1923-01-01;8.9;0.2191780821917808;0.0581;0.2772780821917808;15% to 30%
1924-01-01;8.83;-0.00786516853932584;0.062;0.05413483146067416;0% to 15%
1925-01-01;10.58;0.19818799546998878;0.0541;0.25228799546998876;15% to 30%
1926-01-01;12.65;0.19565217391304346;0.0482;0.24385217391304345;15% to 30%
1927-01-01;13.4;0.059288537549407216;0.051100000000000007;0.11038853754940722;0% to 15%
1928-01-01;17.53;0.3082089552238807;0.0441;0.3523089552238807;> 30%
1929-01-01;24.86;0.41814033086138047;0.036699999999999997;0.4548403308613805;> 30%
1930-01-01;21.71;-0.12670957361222845;0.0453;-0.08140957361222845;-15% to 0%
1931-01-01;15.98;-0.2639336711192999;0.0632;-0.20073367111929988;< -15%
1932-01-01;8.3;-0.48060075093867327;0.09720000000000001;-0.38340075093867326;< -15%
1933-01-01;7.09;-0.14578313253012054;0.0733;-0.07248313253012054;-15% to 0%
1934-01-01;10.54;0.48660084626234124;0.0441;0.5307008462623413;> 30%
1935-01-01;9.26;-0.12144212523719156;0.048600000000000004;-0.07284212523719155;-15% to 0%
1936-01-01;13.76;0.48596112311015127;0.036000000000000004;0.5219611231101513;> 30%
1937-01-01;17.59;0.27834302325581395;0.042199999999999994;0.32054302325581396;> 30%
1938-01-01;11.31;-0.35702103467879476;0.0726;-0.28442103467879476;< -15%
1939-01-01;12.5;0.10521662245800179;0.04019999999999999;0.14541662245800177;0% to 15%
1940-01-01;12.3;-0.015999999999999903;0.0501;0.034100000000000096;0% to 15%
1941-01-01;10.55;-0.14227642276422758;0.0636;-0.07867642276422758;-15% to 0%
1942-01-01;8.93;-0.15355450236966828;0.08109999999999999;-0.07245450236966829;-15% to 0%
1943-01-01;10.09;0.12989921612542;0.062;0.19189921612542;15% to 30%
1944-01-01;11.85;0.17443012884043596;0.053099999999999994;0.22753012884043594;15% to 30%
1945-01-01;13.49;0.13839662447257384;0.0489;0.18729662447257384;15% to 30%
1946-01-01;18.02;0.335804299481097;0.0381;0.37390429948109705;> 30%
1947-01-01;15.21;-0.15593784683684786;0.046900000000000004;-0.10903784683684786;-15% to 0%
1948-01-01;14.83;-0.024983563445101997;0.0559;0.030916436554898;0% to 15%
1949-01-01;15.36;0.0357383681726231;0.061200000000000004;0.09693836817262311;0% to 15%
1950-01-01;16.88;0.09895833333333326;0.0689;0.16785833333333328;15% to 30%
1951-01-01;21.21;0.25651658767772534;0.07440000000000001;0.33091658767772536;> 30%
1952-01-01;24.19;0.14049976426214061;0.0602;0.20069976426214062;15% to 30%
1953-01-01;26.18;0.08226539892517559;0.0541;0.1363653989251756;0% to 15%
1954-01-01;25.46;-0.027501909854851014;0.0584;0.030898090145148986;0% to 15%
1955-01-01;35.6;0.39827179890023556;0.044000000000000004;0.44227179890023555;> 30%
1956-01-01;44.15;0.2401685393258426;0.0361;0.2762685393258426;15% to 30%
1957-01-01;45.43;0.02899207248018132;0.0375;0.06649207248018132;0% to 15%
1958-01-01;41.12;-0.0948712304644509;0.0444;-0.05047123046445089;-15% to 0%
1959-01-01;55.62;0.35262645914396895;0.0327;0.38532645914396896;> 30%
1960-01-01;58.03;0.04332973750449476;0.031;0.07432973750449476;0% to 15%
1961-01-01;59.72;0.029122867482336723;0.034300000000000004;0.06342286748233672;0% to 15%
1962-01-01;69.07;0.15656396517079707;0.0282;0.18476396517079707;15% to 30%
1963-01-01;65.06;-0.058057043578977674;0.034;-0.02405704357897767;-15% to 0%
1964-01-01;76.45;0.17506916692284036;0.030699999999999998;0.20576916692284036;15% to 30%
1965-01-01;86.12;0.12648790058862014;0.0298;0.15628790058862013;15% to 30%
1966-01-01;93.32;0.0836042731072919;0.0297;0.11330427310729191;0% to 15%
1967-01-01;84.45;-0.09504929275610796;0.0353;-0.05974929275610796;-15% to 0%
1968-01-01;95.04;0.12539964476021326;0.030600000000000002;0.15599964476021327;15% to 30%
1969-01-01;102.0;0.0732323232323231;0.0288;0.10203232323232309;0% to 15%
